Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base
EDENWOOD,kenton,EDENWOOD,EDENWOOD 4K Android TV,1610MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
ALHAFIDH,R2,Alhafidh,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
KIVI,stanford,Kivi,KIVI,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
HYUNDAI,stanford,Hyundai,HYUNDAI,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Polytron,hayward,Polytron,2K,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
OSN,HY45N,OSN tv,NGB22-OSN,2087MB,TV,Amlogic AMLS905C2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
ESSENTIELB,R2,EssentielB,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
TECHLIFE,redwood,TECHLIFE,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Aconatic,bangbae,Aconatic,ACONATIC,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Nokia,DV6068H_Nokia,Nokia,DVN2KA01,1029MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
SANSUI,marina,Sansui,North American,1825MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
onn,YOC,onn.,onn. 4K Streaming Box,2086MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,31,3.2,0
HYUNDAI,R3,Hyundai,R3,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
INNOVA,zhongshan,KTCtv,INNOVA,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
NT,HP40A,Skyworth,NT-01,2084MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
OnePlus,Edinburgh,OnePlus,E00,2961MB,TV,Mediatek t51p,2x ARM Mali G52 (500 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Condor,ikebukuro,Condor,32SD520,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Logik,ueno,Logik,Smart TV,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
TURBO-X,yeongdeungpo,Turbo-X,Greek and Bulgarian,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
ALLVIEW,SW4H_FF,AllView,ALLVIEW 4K TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Akari,DV8035,Akari,AX-115ATV,1033MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,26,2,0
TELUS,uiw4054tlu,Telus,TELUSTV-21T,3787MB,TV,Broadcom BCM7218,,1080x1920,320,armeabi;armeabi-v7a,29,3.1,0
DISH,SNAP2,Dish,Hopper Plus,2953MB,TV,Broadcom BCM72160,,1080x1920,320,armeabi;armeabi-v7a,29,3.1,0
nano,gangbyeon,Nano,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
BGH,xiaoyushan,BGH S.A.,xiaoyushan-bgh,1917MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Caixun,patrick,CAIXUN,South of America,1964MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
EVOFORCE1,SEI800CB,EVOFORCE1,FRC1-CBT,2084MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
THOMSON_KODAK,LEDTV32HD,THOMSON_KODAK,PATH_7XPRO,1039MB,TV,Amlogic AMLT950X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
SONIQ,hanyang,Soniq,Soniq android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
MYSTIC,R3,Mystic,R3,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
JVC,seocho,JVC,JVC,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
TekSavvyTV,DV8219,TekSavvy,TekSavvy_DV8219,2104MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Strong,LAS,Strong,LEAP-S1,2084MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Amlogic,A95X_R1,,,2040MB,TV,unknown,,720x1280,160,armeabi;armeabi-v7a,25,2,0
ATT,c71kw400-BEAM,DIRECTV,DIRECTV,3647MB,TV,Broadcom BCM7271,,1080x1920,320,armeabi;armeabi-v7a,30,3.1,0
VISION-TECHNOLOGY,R3,Vision Technology,R3,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Singer,shibuya,Singer,SingerTV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
PHILIPS,MT5593Uplus,Philips,4K Razor Slim LED TV powered by Android TV™,1399MB,TV,Mediatek MT5595,,1080x1920,320,armeabi;armeabi-v7a,26,3.1,0
Rindo,longshan,Rindo,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
KOGAN,SW4H_FF,Kogan,Kogan 4K PRO Android TV,1765MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
AGE,stanford,AGE (in),Age,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
open_uhd_ATV,open_uhd_hk,Skyworth,Hong Kong,1108MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Technika,ewha,Tesco,Technika,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
BPL,takao,BPL,BPL FHD TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
FASTLIFE,zhongshan,KTCtv,FASTLIFE,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Pioneer_Digital_TV,DV8535-KIP,Pioneer_Digital_TV,PD_DV_8535,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Kbro,A1_3796,Kbro,N97_A1_3796,1773MB,TV,HiSilicon hi3796mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Infinix,samseong,Infinix,55X1,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Philco,sunnyvale,Philco,Philco Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
google,fugu,Asus,Nexus Player,1003MB,TV,Intel Z3560,,1080x1920,320,armeabi;armeabi-v7a;x86,26,3.1,0
CHiQ,samseong,CHiQ,H7A,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
NOWO,DV8535-KPN,NOWO,DV 8535 4K,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
XGIMI,xgimigalileo,XGIMI,XK03H,1884MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
humaxdigital,vision,HumaxDigital,VISION W1,2088MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,26,2,0
ENGLAON,stanford,KTCtv,ENGLAON,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
TVB,A20,TVB,A20,2086MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),720x1280,320,armeabi;armeabi-v7a,31,3.2,0
Vodafone,m377_vf,Vodafone,Vodafone TV 3,2009MB,TV,Broadcom BCM72127,,1080x1920,320,armeabi;armeabi-v7a,30,3.1,0
STREAM-SYSTEM,R4,Stream System,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
HYKKER,DV8038,Hykker,Smart Box Android TV,1033MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,26,2,0
VOLIA,VOL001,VOLIA,VOL001,2103MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Daewoo,sunnyvale,Daewoo,DAEWOO SMART TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
KOODA,shibuya,Kooda,KOODA 2K TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
AIWA,stanford,Aiwa,AIWA,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Homeplustv,STB6252C,China Network System (CNS),STB6252C,1937MB,TV,Mediatek MT5251,ARM Mali T820 (650 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MI,eva,Xiaomi,Mi smart projector,2104MB,TV,Amlogic AMLT962X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
ARRQW,yeongdeungpo,ARRQW,Saudi Arabia,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Hisense,laohushan,Hisense,laohushan,1917MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
STREAM,capitolhill,Stream,STREAM 2K Google TV,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Zephir,tamachi,Zephir,Italy,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
TCL,tcl_sa,TCL,Percee TV,1971MB,TV,Mediatek MT5596,,1080x1920,320,armeabi;armeabi-v7a,26,3.2,0
google,cupid-p1,,,2072MB,TV,unknown,,720x1280,213,armeabi;armeabi-v7a,29,3.2,0
Rindo,redwood,Rindo,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
VU,longshan,Vu Televisions,Android TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
BGH,kenton,BGH S.A.,BGH 4K Android TV,1610MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
LGUplus,uie4057lgu,LGU+,UHD4T,2596MB,TV,Synaptics VS680,Imagination Tech PowerVR GE9920 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Hitachi,komagome,Hitachi,Hitachi,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Amino,Amigo7xGM,Aminocom,Amigo7xGM,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
HITACHI,R2,Hitachi,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
TCL,G05,TCL,G05_4K_US,2855MB,TV,Mediatek t51p,2x ARM Mali G52 (500 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
EON_Smart_Box,DV8519,EONSmartBox,SDOTT0202,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SHARP,lc_u35t,Sharp,LC-U35T,1403MB,TV,Mediatek MT5595,,1080x1920,320,armeabi;armeabi-v7a,23,3.1,0
Tecnomaster,seocho,Tecnomaster,Tecnomaster,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
ACER,R2,Acer,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
MNC_NOW,HP40A3,MNC NOW,CYBORG001,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2,0
SUPERSONIC,kanda,SUPERSONIC,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
WILLETT,tamachi,WILLETT,India,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Allente,SEI700ALLG,Allente,Allente Streaming Hub,2084MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Toshiba,shandao,My,Android TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
MIRAY,R2,MIRAY,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
KemplerStruss,kanda,KEMPLER STRAUSS,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
carp,lasalle,carp(IN),carp 2K Android TV,1073MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Panavox,songshan,Panavox,50 google tv/58 google tv/65 google tv/75 google tv,1877MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Dialog,N9106H_B_Dialog,Dialog,N9106H_B,1774MB,TV,HiSilicon hi3796mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Strong,komagome,Strong,Strong,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Viettel,VTTV-SD4K-20,Viettel,ViettelTV 4K BOX,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
ORS,HY43X,simpliTV,Strong-SRT4150,2087MB,TV,Amlogic AMLS905C1,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
VEON,SEI103,Shenzhen SEI Robotics,SEI103V,1030MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
LGHelloVision,uce4027cjh,LG HelloVision,T1100UA,1994MB,TV,Marvell BG5-CT,Imagination Tech PowerVR GE8310 (600 MHz),720x1280,213,armeabi;armeabi-v7a,29,3.2,0
Transvision,UHD_I56AD_TRV,Transvision,TRANSVISION-OTT-Box,1416MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
TriaPlay,TriaPlayBox,TriaPlay,TriaPlayBox,2103MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
Allwinner,dolphin-p1,,,2094MB,TV,unknown,,720x1280,160,armeabi;armeabi-v7a,29,2,0
Witooth,longshan,Witooth,Android TV,1877MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
HYUNDAI,R4,Hyundai,R4,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
JCOM,sti6260d195,J:COM,XA403,2087MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
ALLVIEW,bangbae,AllView,ALLVIEW,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
EKO,shilin,EKO,EKO,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
NOKIA,R2,Nokia,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,2,0
Hyundai,martin,Hyundai,EU、UK、AP,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
PrismPlus,SW6H,PRISMPLUS,PrismPlus P4KA,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
Tesla,tamachi,Tesla,EU,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Philips,hino,Philips,Smart TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
PHILIPS,QM16XE_U,Philips,4K Ultra Slim LED TV powered by Android,1408MB,TV,Mediatek MT5595,,1080x1920,320,armeabi;armeabi-v7a,26,3.1,0
FAVORITT,R3,FAVORITT,R3,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0
Zephir,bangbae,Zephir,Zephir,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
EAS-ELECTRIC,R1,EAS ELECTRIC,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
EVVO,R1,EVVO,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
Blaupunkt,sindang,Blaupunkt,Blaupunkt,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
KaonMedia,KSTB6044,Croatian Telecom,KSTB6044,1863MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,24,2,0
EKO,ICN,EKO,KATV10,2084MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
ESSENTIELB,R1,EssentielB,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2,0
carp,kenton,carp(IN),carp 4K Android TV,1610MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
T-Mobile-CZ-Telekom-SK,HY44G,T-Mobile-CZ-Telekom-SK,TV Box HY4403,2086MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Funai,peach,Funai Electric,Smart TV,2957MB,TV,Mediatek MT5598,3x ARM Mali G71 (698 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2,0
Theham,sindorim,THEHAM,UHD Android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2,0
WALTON,guandu,Walton,EXPRESS,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0
