Current Roku models,,,,,,,,,
Device Name,Code Name,roDeviceInfo.GetModel(),CPU,Accelerated Graphics API,RAM,Max UI Resolution,Max Playback Resolution,HDR Support,Year Released
Roku Express,Rockett,3960X,ARM Cortex A55,OpenGL ES 2.0,512 MB,720p,1080p,No,2022
Roku Express+,Nemo,3931X,ARM Cortex A53,OpenGL ES 2.0,512 MB,720p,1080p,No,2019
Roku Express 4K,Bailey,3940X2,ARM Cortex A55,OpenGL ES 2.0,1 GB,1080p/60fps,"4K60fps, HDR","HDR10/10+, HLG",2022
Roku Express 4K+,Bailey,3941X2,ARM Cortex A55,OpenGL ES 2.0,1 GB,1080p/60fps,"4K60fps, HDR","HDR10/10+, HLG",2022
Roku Streaming Stick 4K,Logan,3820X2,ARM Cortex A55,OpenGL ES 2.0,1 GB,1080p,"4K60fps, HDR","HDR10/10+, and HLG
Roku Streaming Stick 4K+,Logan,3821X2,ARM Cortex A55,OpenGL ES 2.0,1 GB,1080p,"4K60fps, HDR","HDR10/10+, and HLG
Roku Ultra LT,Benjamin-W,4800X,ARM Cortex A55,OpenGL ES 2.0,2 GB,1080p/60fps,"4K60fps, HDR","HDR10/10+, and HLG
Roku Ultra,Benjamin,4800X,ARM Cortex A55,OpenGL ES 2.0,2 GB,1080p/60fps,"4K60fps, HDR","HDR10, and HLG",2021
Roku Ultra,Brewster,4850X,ARM Cortex A55,OpenGL ES 2.0,2 GB,1080p/60fps,"4K60fps, HDR","HDR10/10+, and HLG
4K Roku TV,Trinidad,J000X,ARM quad core CA73 1 GHz,OpenGL ES 2.0,2 GB,1080p/60fps,"4K144fps, HDR","HDR10, HDR10+, and HLG
4K Roku TV,Longview,7000X,ARM dual core 1.2 GHz,OpenGL ES 2.0,1 GB,1920X1080,3840x2160,"HDR10 supported, varies by model",2019
Roku TV,Midland,8000X,ARM,OpenGL ES 2.0,512 MB,720p,1280X720,No,2019
Roku TV,Roxton,K000X,ARM Cortex A35,OpenGL ES 2.0,512 MB,720p,1080p/60fps,No,2024
Roku TV (Brazil),El Paso,8000X,ARM,OpenGL ES 2.0,512 MB,720p,1080p,No,2020
Roku Smart Soundbar,Fruitland,9100X,ARM Cortex A53,OpenGL ES 2.0,1 GB,1080p,"4K60fps, HDR",HDR10,2019
Roku Streambar,Chico,9102X,MStar C2,OpenGL ES 2.0,1 GB,1080p/60fps,"4K60fps, HDR",HDR10 and HLG,2020
Roku Streambar,Lockhart,9104X,ARM Cortex A55,OpenGL ES 2.0,1 GB,1080p/60fps,"4K60fps, HDR","HDR10, HDR10+, and HLG",2024
2K Roku TV,Miami,H000X,ARM quad core 1 GHz,OpenGL ES 2.0,512MB,720p,1080p/60fps,No,2022
4K Roku TV,Reno,A000X,ARM quad core 1 GHz,OpenGL ES 2.0,1.5 GB,1920X1080,3840x2160,"HDR10, and HLG supported, varies by model",2019
4K Roku TV,Malone,C000X,ARM quad core 1 GHz,OpenGL ES 2.0,1 GB,1920X1080,3840x2160,"HDR10, and HLG supported, varies by model",2019
4K Roku TV,Athens,G000X,ARM quad core 1 GHz,OpenGL ES 2.0,1 GB,1920X1080,3840x2160,"HDR10, and HLG supported, varies by model",2021
4K Roku TV (EU),Camden,C000GB,ARM quad core 1 GHz,OpenGL ES 2.0,1 GB,1920X1080,3840x2160,"HDR10, and HLG supported, varies by model",2019
4k Roku TV,Sandia,L000X,ARM quad core 1 GHz,OpenGL ES 2.0,1 GB,1920X1080,"3,840 x 2,160","HDR10, HDR10+, HLG supported, varies by model",2024
4k Roku TV,Shiner,M000X,ARM quad core 1 GHz,OpenGL ES 2.0,2 GB,1920X1080,"3,840 x 2,160","HDR10, HDR10+ Adaptive, HLG supported, varies by model",2024
4k Roku TV,Damon,P000X,ARM quad core 1 GHz,OpenGL ES 2.0,1 GB,1920X1080,3840x2160,"HDR10, and HLG supported, varies by model",2024
,,,,,,,,,
Updatable Roku models,,,,,,,,,
Device Name,Code Name,roDeviceInfo.GetModel(),CPU,RAM,Accelerated Graphics API,Max UI Resolution,Max Playback Resolution,HDR Support,Year Released
Roku Streaming Stick,Briscoe,3600X,ARM Cortex A7 quad core 800 MHz,512 MB,OpenGL ES 2.0,1280X720,1920x1080,n/a,2016
Roku Express,Littlefield,3700X,MIPS 900 MHz,512 MB,n/a,1280X720,1920x1080,n/a,2016
Roku Express+,Littlefield,3710X,MIPS 900 MHz,512 MB,n/a,1280X720,1920x1080,n/a,2016
Roku Streaming Stick,Amarillo 1080,3800X,ARM Cortex A53,512 MB,OpenGL ES 2.0,720p,1080p,n/a,2017
Roku Streaming Stick+,Amarillo-2019,3810X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR",HDR 10,2019
Roku Streaming Stick+,Amarillo 2019-HP,3811X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR",HDR 10,2019
Roku Streaming Stick 4K,Madison,3820X,ARM Cortex A55,1 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR","HDR10/10+, HLG",2021
Roku Streaming Stick 4K+,Madison,3821X,ARM Cortex A55,1 GB,OpenGL ES 2.0,1080p,"4K60fps, HDR","HDR10/10+, HLG",2021
Roku Express,Gilbert,3900X,ARM Cortex A53,512 MB,OpenGL ES 2.0,720p,1080p,n/a,2019
Roku Express+,Gilbert,3910X,ARM Cortex A53,512 MB,OpenGL ES 2.0,720p,1080p,n/a,2019
Roku Express,Nemo,"3930X, 3930EU",ARM Cortex A53,512 MB,OpenGL ES 2.0,720p,1080p,n/a,2019
Roku Express 4K,Marlin,3940X,ARM Cortex A55,1 GB,OpenGL ES 2.0,1080p/60fps,"4K60fps, HDR","HDR10/10+, HLG",2021
Roku Express 4K+,Marlin,3941X,ARM Cortex A55,1 GB,OpenGL ES 2.0,1080p/60fps,"4K60fps, HDR","HDR10/10+, HLG",2021
Roku Premiere,Cooper,4620X,ARM Cortex A53 quad core 1.2 GHz,1 GB,OpenGL ES 2.0,1920X1080,"4K UHD, 60fps",n/a,2016
Roku Premiere+,Cooper,4630X,ARM Cortex A53 quad core 1.2 GHz,1 GB,OpenGL ES 2.0,1920X1080,"4K UHD, 60fps",HDR10,2016
Roku Premiere,Gilbert 4K,3920X,ARM Cortex A53,1 GB,OpenGL ES 2.0,1080p,"4K UHD, 60fps",HDR10,2019
